軟體名稱,圖片,敘述,套件名稱,標籤,bash,備註
#辦公,,,,,,
資料庫_Base,ooo-base.png, ,openoffice.org-base,辦公;中學;大學;,,
排版軟體_Scribus,scribus.png,適合用於雜誌，報紙等印刷品編輯設計的出版軟體,scribus,辦公;中學;大學;,,
辧公室製圖_Dia,dia.svg,Dia提供模組化的設計工具來製圖，如流程圖、網際網路圖、電路圖等，都可以利用Dia輕鬆繪製,dia,辦公;小學;中學;大學;,,
心智圖_XMind,xmind-logo-36.png,可輕鬆繪製心智圖、組織圖、魚骨圖的工具軟體,xmind,辦公;小學;中學;大學;,,
心智圖_FreeMind,FreeMind_icon.png,可輕鬆繪製心智圖、組織圖的工具軟體,freemind,辦公;小學;中學;大學;,,
專案管理_Planner,gnome-planner.png,Planner 擁有大多數專案管理工具都有的功能，像是甘特圖。除此之外，Planner 還有其他獨特的功能，像是儲存為XML檔,planner,辦公;中學;大學;,,
專案管理_GanttProject,gantt.png,GanttProject 是一套跨平台的專案管理工具，可用於專案規劃與管理,ganttproject,辦公;中學;大學;,,
電子書_calibre,calibre.jpg,可以編輯如 LRF 等檔案的電子書編輯軟體,calibre,辦公;小學;中學;大學;,,
#電子書編輯器_Sigil,Sigil.png,EPUB 電子書編輯軟體,,辦公;小學;中學;大學;,,
PDF瀏覽_AdobeReader,adobe-reader.png,Adobe 原廠的 PDF 閱讀軟體。,acroread,辦公;小學;中學;大學;,,
PDF編輯器_PDF Editor,pdfedit_logo.png,可直接編輯PDF 檔中的文字及內容，並且可再另存新檔,pdfedit,辦公;小學;中學;大學;,,
PDF編輯器_Shuffler,pdfshuffler.png,可輕易做到PDF格式合併，重新排列，分割，旋轉和裁剪,pdfshuffler,辦公;小學;中學;大學;,,
PDF手繪筆記_Xournal,xournal.svg,可在匯入 PDF 檔案後，在上面任意手寫、打字、畫彩色圖形線段、以及以螢光筆作記號,xournal,辦公;小學;中學;大學;,,
#PDF簡報播放_Impressive,Impressive.png,可以將 PDF 檔案當成簡報一樣播放的PDF簡報播放軟體,,辦公;小學;中學;大學;,,#deb 檔案安裝
金融管理_GnuCash,gnucash-icon-48x48.png,一套複式簿記系統的記帳軟體，適合家庭及中小企業來使用,gnucash,辦公;中學;大學;,,
#美工,,,,,,
小畫家_GNU Paint,gpaint.svg,類似小畫家的繪圖軟體,gpaint,美工繪圖;圖片製作;小學;中學;,,
小畫家_KolourPaint,kolourpaint.svg,類似小畫家的繪圖軟體,kolourpaint4,美工繪圖;圖片製作;小學;,,
企鵝小畫家_TuxPaint,tuxpaint.png,適合小朋友發揮創意，任意塗鴉的繪圖軟體,tuxpaint,美工繪圖;圖片製作;小學;,,
筆刷繪圖_My Paint,mypaint.png,內建四百種超炫筆刷的繪圖軟體,mypaint,美工繪圖;動畫製作;,,
向量繪圖_Inkscape,inkscape.svg,可建立 svg 向量圖檔的繪圖軟體，功能和界面類似 CorelDRAW,inkscape,美工繪圖;圖片製作;小學;中學;大學;,,
影像處理_GIMP,gnome-gimp.png,具圖層應用功能的影像編輯和點陣繪圖軟體，功能和界面類似 Photoshop,gimp,美工繪圖;圖片製作;小學;中學;大學;,,
#髮型彩粧_jKiwi,jkiwi.png,jKiwi 可以讓你輕鬆的對人像照片進行髮型與彩粧模擬設計,jkiwi,美工繪圖;小學;中學;,,#deb 檔案安裝
相片管理_digiKam,digikam.png,專業的數位相片和圖片管理軟體,digikam,美工繪圖;小學;中學;大學;,,
相片瀏覽_Gwenview,gwenview.svg,簡易的數位相片和圖片瀏覽軟體,gwenview,美工繪圖;小學;中學;大學;,,
,,,,,,
圖片管理_gThumb,gthumb.png,簡易的數位相片和圖片管理軟體,gthumb,美工繪圖;小學;中學;大學;,,
多圖合併_Fotowall,fotowall.png,Fotowall 可以讓你輕鬆的將多張圖片進行各種套用與設計,fotowall,美工繪圖;圖片製作;小學;中學;大學;,,
#曝光混合_Expo blending,expoblending.png,將曝光影像進行混合,,美工繪圖;圖片製作;小學;中學;大學;,,
#相片佈局_Photo layouts editor,photolayoutseditor.png,建立美觀與專業的相片佈局,,美工繪圖;圖片製作;小學;中學;大學;,,
#全景圖_Panoram,,簡單易用的全景圖製作軟體,,美工繪圖;圖片製作;小學;中學;大學;,,
全景圖_Hugin,hugin.png,全景圖批次處理工具，可以輕易的在 Linux 下將多張照片合併成全景圖,hugin,美工繪圖;圖片製作;小學;中學;大學;,,
,,,,,,
,,,,,,
2D動畫_KToon,_usr_share_pixmaps_ktoon.png,能讓您使用點陣圖創造傳統的動畫,ktoon,美工繪圖;動畫製作;,,
2D動畫_Pencil,pencil.png,能讓您使用點陣圖創造傳統的動畫,pencil,美工繪圖;動畫製作;,,
3D動畫_Blender,blender.png,3D 模型建置與動畫設計軟體，媲美時下商業版的 3D 動畫軟體,blender,美工繪圖;動畫製作;大學;,,
室內設計_SweetHome3D,sweethome3d.png,室內設計用的3D 模型軟體，不僅專業設計人員可以使用，對一般人而言也是一個極易上手的室內設計工具,sweethome3d,美工繪圖;小學;中學;大學;,,
螢幕尺規_KRuler,kruler.png,可以直接在螢幕上丈量的螢幕尺規,kruler,美工繪圖;,,
#影像掃描_Scan GUI,scanner.png,使用平台式掃描器擷取影像的工具,,美工繪圖;,,
影像擷取_KSnapshot,ksnapshot.png,多功能的影像擷取工具，可直接按鍵盤上的〔Print Screen〕鍵執行此功能,ksnapshot,美工繪圖;,,
顏色選擇_KColorChooser,kcolorchooser.png,用來點選螢幕上的顏色,kcolorchooser,美工繪圖;,,
#RAW批次轉檔_dngconverter,dngconverter.png,批次將 RAW 檔案轉成 DNG 檔案的軟體,,美工繪圖;,,
,,,,,,
,,,,,,
#影音,,,,,,
多媒體中心_XBMC,xbmc.gif,一套超炫的多媒體播放中心，不論圖片影片皆可播放,xbmc,影音;影音播放;小學;中學;大學;,,
影音播放_VLC,vlc.png,可以用於網路串流及各種多媒體檔案之播放,vlc,影音;影音播放;小學;中學;大學;,,
影音播放_SMPlayer,SMPlayer_icon.png,以 MPlayer 為基礎的多媒體播放器，具完整的使用者介面,smplayer,影音;影音播放;,,
影音播放_UMPlayer,umplayer.png,以 MPlayer 為基礎的多媒體播放器，具完整的使用者介面,umplayer,影音;影音播放;,,
,,,,,,
,,,,,,
,,,,,,
影片編輯_Kino,kino.png,簡單易用的影片編輯軟體,kino,影音;影音編輯製作;小學;中學;,,
,,,,,,
影片編輯_OpenShot,openshot.png,OpenShot 是 Linux 下常用的非線性影片剪輯軟體,openshot,影音;影音編輯製作;小學;中學;大學;,,
影片編輯_Kdenlive,kdenlive.png,Kdenlive 是 Linux 下非常專業完整的非線性影片編輯軟體,kdenlive,影音;影音編輯製作;小學;中學;大學;,,
桌面錄製_Kazam,kazam.png,一款簡易的桌面畫面錄製工具,kazam,影音;影音編輯製作;,,
視訊擷取_Cheese,cheese.svg,透過 Cheese 可以從網路攝影機擷取相片與影片，並加入有趣的影像特效,cheese,影音;影音編輯製作;,,
影像擷取_guvcview,_usr_share_pixmaps_guvcview_guvcview.png,webcam管理程式,guvcview,影音;影音編輯製作;小學;中學;大學;,,
投影片秀_Imagination,imagination.png,Imagination 可以將相片或圖片輕易的轉成具豐富轉場效果的多媒體投影片秀 ,imagination,影音;影音編輯製作;小學;中學;,,
投影片秀_Photo Film Strip,photofilmstrip.png,讓你輕鬆製作出圖片跑馬燈及多媒體投影片秀的軟體,photofilmstrip,影音;影音編輯製作;,,
光碟燒錄_K3b,k3b.png,Linux 下常用的光碟燒錄工具 ,k3b,影音;影音編輯製作;小學;中學;大學;,,
,,,,,,
光碟擷取_AcidRip,acidrip.png,AcidRip 可以輕易的將一般的影片轉成 avi 或 mpeg 檔,acidrip,影音;影音編輯製作;小學;中學;,,
光碟製作_DVDstyler,dvdstyler.png,DVD 光碟及選單製作工具,dvdstyler,影音;影音編輯製作;小學;中學;,,
光碟修復_dvdisaster,dvdisaster.png,對於刮傷或老化的光碟，提供了更好的存取與修復效果,dvdisaster,影音;影音編輯製作;小學;中學;大學;,,
音樂播放_Audacious,audacious2.png,類似 Winamp 的音樂播放器,audacious,影音;影音播放;小學;中學;大學;,,
音樂播放_Amarok,amarok.png,Amarok 一套功能強大的音樂播放與專輯管理軟體,amarok,影音;影音播放;小學;中學;大學;,,
,,,,,,
音樂編輯_Audacity,audacity.svg,Audacity 是一套功能相當完整的音訊編輯軟體，具有剪輯、複製、混音等多項音訊編輯功能,audacity,影音;影音編輯製作;小學;中學;,,
音樂製作_Tuxguitar,tuxguitar.png,可以輸入 Midi 格式及吉他譜檔，並且還可輸出多種音樂格式，以及 PDF 格式的樂譜,tuxguitar,影音;影音編輯製作;小學;中學;,,
節奏編曲_Hydrogen,h2-icon.svg,非常容易上手的爵士電子鼓節奏編曲軟體,hydrogen,影音;影音編輯製作;小學;中學;,,
樂譜編輯_MuseScore,mscore.png,專業的五線譜編輯軟體，可以讓你輕鬆地在軟體內加入音符，並且做即時的結果輸出,musescore,影音;影音編輯製作;小學;中學;,,
音樂製作_Rosegarden,audio-x-rosegarden-composition.png,功能非常強大的專業級音樂製作軟體,rosegarden,影音;影音編輯製作;小學;中學;,,
影音轉檔_Win_FF,winff.png,多種格式的影音轉檔工具,winff,影音;影音編輯製作;小學;中學;大學;,,
音效調整_KMix,kmix.png,多功能的音效調整工具,kmix,影音;,,
音訊控制_QjackCtl,qjackctl.png,音訊控制與連結服務工具,qjackctl,影音;小學;中學;,,
音訊整合_Ardour GTK2,_usr_share_ardour2_icons_ardour_icon_22px.png,功能全面的數位音訊整合工具,ardour,影音;影音編輯製作;小學;中學;,,
聲音錄製_Gnome Sound Recorder ,Gnome_Sound_Recorder.png,簡易的聲音錄製軟體,gnome-media,影音;影音編輯製作;,,
影音錄製_XVidCap,xvidcap.png,可將螢幕上的操作畫面及聲音同步錄製,xvidcap,影音;影音編輯製作;小學;中學;,,
音樂擷取_sound-juicer,sound-juicer.svg,可以從音樂光碟中擷取音樂的小工具,sound-juicer,影音;影音編輯製作;小學;中學;,,
,,,,,,
影音轉檔_DeVeDe,devede.svg,能將任何格式的影片轉為 DVD 影片,devede,影音;影音編輯製作;小學;中學;大學;,,
影音轉檔_OggConvert,oggconvert.svg,小巧實用的多媒體影音轉換工具,oggconvert,影音;影音編輯製作;小學;中學;大學;,,
虛擬光碟_Furius ISO Mount,furiusisomount.png,簡單好用的光碟映像檔掛載工具 ,furiusisomount,影音;影音編輯製作;小學;中學;大學;,,
光碟製作_QDVDAuthor,qdvdauthor.png,DVD 光碟及選單製作工具,qdvdAuthor,影音;影音編輯製作;小學;中學;,,
,,,,,,
,,,,,,
#網路,,,,,,
網路瀏覽器_Firefox,firefox.png,提供更有效率、更安全、更個人化的瀏覽體驗 ,firefox,網際網路;小學;中學;大學;,,
網路瀏覽器_Chromium,Chromium.png,由 Google 開發的網頁瀏覽器,chromium-browser,網際網路;小學;中學;大學;,,
網頁瀏覽_Konqueror,konqueror.png,可以當檔案總管以及網頁瀏覽器的軟體,konqueror,網際網路;,,
BBS連線_PCMan X BBS ,pcmanx.png,常用的 BBS 連線軟體,pcmanx-mls-gtk2,網際網路;中學;大學;,,
#網頁設計_BlueGriffon,bluegriffon.png,讓您可以快速編輯簡單的HTML或動態HTML網頁 ,,網際網路;小學;中學;大學;,,#是個可執行檔...
網頁設計_KompoZer,kompozer.png,讓您可以快速編輯簡單的HTML或動態HTML網頁 ,kompozer,網際網路;小學;中學;,,
免費軟體_Dropbox,dropbox.png,可以讓你在不同電腦及行動載具間同步檔案進度的雲端軟體,nautilus-dropbox,網際網路;中學;大學;,,
RSS閱讀器_Akregator,akregator.png,方便實用的 RSS 閱讀器,akregator,網際網路;中學;大學;,,
BT下載_Ktorrent,ktorrent.png,可透過 BitTorrent 協定來下載和分享檔案 ,ktorrent,網際網路;中學;大學;,,
檔案傳輸_FileZilla,filezilla.png,Linux 下常用的 FTP 檔案傳輸工具 ,filezilla,網際網路;小學;中學;大學;,,
即時通訊_Pidgin,pidgin.svg,讓您可以透過即時通訊與好友聊天，支援 AIM、Google Talk、Jabber/XMPP、MSN、Yahoo 等,pidgin,網際網路;小學;中學;大學;,,
即時通訊_Kopete,kopete.png,即時訊息客戶端程式,kopete,網際網路;小學;中學;,,
即時通訊_Emesene,emesene-logo.png,一套適用於 Windows Live Messenge 的即時通訊軟體 ,emesene,網際網路;小學;中學;大學;,,
網路電話_Ekiga,ekiga.png,Linux 下常用的網路電話軟體,ekiga,網際網路;小學;中學;大學;,,
網路連線_KPPP,kppp.png,數據機和網路撥號程式,kppp,網際網路;,,
藍芽連線_BlueDevil,bluedevil.png,KDE 內建的藍芽傳輸軟體,bluedevil,網際網路;,,
連線分享_Nitroshare,,跨平台區域網路檔案分享軟體,nitroshare,網際網路;,,
遠端連線_Remmina,Remmina.png,遠端桌面的連線軟體，功能類似 TeamViewer,remmina,網際網路;,,
免費軟體_Skype,skype.png,知名的網路語音通話軟體,skype,網際網路;中學;大學;,,
郵件管理_Evolution,evolution.svg, 集合電子郵件，行事曆與工作排程等功能的郵件管理軟體,evolution,網際網路;,,
檔案傳輸_gFTP,gftp.png,FTP檔案傳輸軟體 ,gftp,網際網路;小學;中學;,,
